tableName,database,host_port,timeCols,primaryKeys,dbVersion,targetTable
t_ticket_active,bjwk_db,120.253.251.103:4406,get_start_time|get_start_timestamp|get_end_time|get_end_timestamp|lhq_start_time|lhq_start_timestamp|lhq_end_time|lhq_end_timestamp|create_time|mod_time,id|store_id,5.7,t_ticket_active
t_user,bjwk_db,120.253.251.103:4406,login_time|login_lock_time|create_time|mod_time,user_id,5.7,t_user
t_user_integral_history,bjwk_db,120.253.251.103:4406,create_time|mod_time,id,5.7,t_user_integral_history
t_after_sales_order_detail,bjwk_db,120.253.251.103:4406,,id,5.7,t_after_sales_order_detail
t_after_sales_order,fstmeili_db,120.253.251.103:4406,audit_time|create_order_time|create_time|refund_finish_time|finish_time,id,5.7,t_after_sales_order
t_eva_goods,fstmeili_db,120.253.251.103:4406,eva_time,id,5.7,t_eva_goods
t_goods,fstmeili_db,120.253.251.103:4406,goods_added_time|goods_unadded_time|create_time|mod_time,goods_id,5.7,t_goods
t_goods_brand,fstmeili_db,120.253.251.103:4406,create_time|mod_time,brand_id,5.7,t_goods_brand
t_goods_category,fstmeili_db,120.253.251.103:4406,create_time|mod_time,cat_id,5.7,t_goods_category
t_goods_item,fstmeili_db,120.253.251.103:4406,goods_item_added_time|goods_item_unadded_time|create_time|mod_time,goods_item_id,5.7,t_goods_item
t_order,fstmeili_db,120.253.251.103:4406,create_time|create_datestamp|payment_time|payment_datestamp|receipt_time|receipt_datestamp|delivery_time|delivery_datestamp|deliverytime|audit_time|audit_timestamp|cancle_time|refund_apply_time|refund_audit_time|finish_time|finish_datestamp|transaction_time|refund_finish_time,id,5.7,t_order
t_order_details,fstmeili_db,120.253.251.103:4406,receiving_time|receiving_timetamp|price_time|delivery_time,id,5.7,t_order_details
t_store_info,fstmeili_db,120.253.251.103:4406,expiry_time|create_time|mod_time|check_time|announcement_begin_time|announcement_end_time,store_id,5.7,t_store_info
t_ticket,fstmeili_db,120.253.251.103:4406,get_time|create_time|mod_time,id,5.7,t_ticket
t_ticket_active,fstmeili_db,120.253.251.103:4406,get_start_time|get_start_timestamp|get_end_time|get_end_timestamp|lhq_start_time|lhq_start_timestamp|lhq_end_time|lhq_end_timestamp|create_time|mod_time,id|store_id,5.7,t_ticket_active
t_user,fstmeili_db,120.253.251.103:4406,login_time|login_lock_time|create_time|mod_time,user_id,5.7,t_user
t_user_integral_history,fstmeili_db,120.253.251.103:4406,create_time|mod_time,id,5.7,t_user_integral_history
t_welfare_coin,fstmeili_db,120.253.251.103:4406,create_time|mod_time,id,5.7,t_welfare_coin
t_welfare_coin_history,fstmeili_db,120.253.251.103:4406,create_time,id,5.7,t_welfare_coin_history
t_after_sales_order_detail,fstmeili_db,120.253.251.103:4406,,id,5.7,t_after_sales_order_detail
t_after_sales_order,kjds_db,120.253.251.103:4406,audit_time|create_order_time|create_time|refund_finish_time|finish_time,id,5.7,t_after_sales_order
t_eva_goods,kjds_db,120.253.251.103:4406,eva_time,id,5.7,t_eva_goods
t_goods,kjds_db,120.253.251.103:4406,goods_added_time|goods_unadded_time|create_time|mod_time,goods_id,5.7,t_goods
t_goods_brand,kjds_db,120.253.251.103:4406,create_time|mod_time,brand_id,5.7,t_goods_brand
t_goods_category,kjds_db,120.253.251.103:4406,create_time|mod_time,cat_id,5.7,t_goods_category
t_goods_item,kjds_db,120.253.251.103:4406,goods_item_added_time|goods_item_unadded_time|create_time|mod_time,goods_item_id,5.7,t_goods_item
t_order,kjds_db,120.253.251.103:4406,create_time|create_datestamp|payment_time|payment_datestamp|receipt_time|receipt_datestamp|delivery_time|delivery_datestamp|deliverytime|delivery_time_id|audit_time|audit_timestamp|cancle_time|refund_apply_time|refund_audit_time|finish_time|finish_datestamp|transaction_time|refund_finish_time,id,5.7,t_order
t_order_details,kjds_db,120.253.251.103:4406,receiving_time|receiving_timetamp|price_time,id,5.7,t_order_details
t_store_info,kjds_db,120.253.251.103:4406,expiry_time|create_time|mod_time|check_time|announcement_begin_time|announcement_end_time,store_id,5.7,t_store_info
t_ticket,kjds_db,120.253.251.103:4406,get_time|create_time|mod_time,id,5.7,t_ticket
t_ticket_active,kjds_db,120.253.251.103:4406,get_start_time|get_start_timestamp|get_end_time|get_end_timestamp|lhq_start_time|lhq_start_timestamp|lhq_end_time|lhq_end_timestamp|create_time|mod_time,id|store_id,5.7,t_ticket_active
t_user,kjds_db,120.253.251.103:4406,login_time|login_lock_time|create_time|mod_time,user_id,5.7,t_user
t_user_integral_history,kjds_db,120.253.251.103:4406,create_time|mod_time,id,5.7,t_user_integral_history
t_welfare_coin,kjds_db,120.253.251.103:4406,create_time|mod_time,id,5.7,t_welfare_coin
t_welfare_coin_history,kjds_db,120.253.251.103:4406,create_time,id,5.7,t_welfare_coin_history
t_after_sales_order_detail,kjds_db,120.253.251.103:4406,,id,5.7,t_after_sales_order_detail
t_after_sales_order,rzgv_db,120.253.251.103:4406,audit_time|create_order_time|create_time|refund_finish_time|finish_time,id,5.7,t_after_sales_order
t_after_sales_order_detail,rzgv_db,120.253.251.103:4406,wx_refund_time|canteen_refund_time,id,5.7,t_after_sales_order_detail
t_eva_goods,rzgv_db,120.253.251.103:4406,eva_time,id,5.7,t_eva_goods
t_goods,rzgv_db,120.253.251.103:4406,goods_added_time|goods_unadded_time|create_time|mod_time,goods_id,5.7,t_goods
t_goods_brand,rzgv_db,120.253.251.103:4406,create_time|mod_time,brand_id,5.7,t_goods_brand
t_goods_category,rzgv_db,120.253.251.103:4406,create_time|mod_time,cat_id,5.7,t_goods_category
t_goods_item,rzgv_db,120.253.251.103:4406,goods_item_added_time|goods_item_unadded_time|create_time|mod_time,goods_item_id,5.7,t_goods_item
t_order,rzgv_db,120.253.251.103:4406,create_time|create_datestamp|payment_time|payment_datestamp|receipt_time|receipt_datestamp|delivery_time|delivery_datestamp|deliverytime|audit_time|audit_timestamp|cancle_time|refund_apply_time|refund_audit_time|finish_time|finish_datestamp|transaction_time|refund_finish_time|wx_refund_time|canteen_refund_time,id,5.7,t_order
t_order_details,rzgv_db,120.253.251.103:4406,receiving_time|receiving_timetamp|price_time|delivery_time,id,5.7,t_order_details
t_store_info,rzgv_db,120.253.251.103:4406,expiry_time|create_time|mod_time|check_time|announcement_begin_time|announcement_end_time,store_id,5.7,t_store_info
t_ticket,rzgv_db,120.253.251.103:4406,get_time|create_time|mod_time,id,5.7,t_ticket
t_ticket_active,rzgv_db,120.253.251.103:4406,get_start_time|get_start_timestamp|get_end_time|get_end_timestamp|lhq_start_time|lhq_start_timestamp|lhq_end_time|lhq_end_timestamp|create_time|mod_time,id|store_id,5.7,t_ticket_active
t_user,rzgv_db,120.253.251.103:4406,login_time|login_lock_time|create_time|mod_time,user_id,5.7,t_user
t_user_integral_history,rzgv_db,120.253.251.103:4406,create_time|mod_time,id,5.7,t_user_integral_history
t_after_sales_order,shdl_db,120.253.251.103:4406,audit_time|create_order_time|create_time|refund_finish_time|finish_time,id,5.7,t_after_sales_order
t_after_sales_order_detail,shdl_db,120.253.251.103:4406,points_refund_time|card_refund_time|external_refund_time,id,5.7,t_after_sales_order_detail
t_eva_goods,shdl_db,120.253.251.103:4406,eva_time,id,5.7,t_eva_goods
t_goods,shdl_db,120.253.251.103:4406,goods_added_time|goods_unadded_time|create_time|mod_time,goods_id,5.7,t_goods
t_goods_brand,shdl_db,120.253.251.103:4406,create_time|mod_time,brand_id,5.7,t_goods_brand
t_goods_category,shdl_db,120.253.251.103:4406,create_time|mod_time,cat_id,5.7,t_goods_category
t_goods_item,shdl_db,120.253.251.103:4406,goods_item_added_time|goods_item_unadded_time|create_time|mod_time,goods_item_id,5.7,t_goods_item
t_order,shdl_db,120.253.251.103:4406,create_time|create_datestamp|payment_time|payment_datestamp|receipt_time|receipt_datestamp|delivery_time|delivery_datestamp|deliverytime|audit_time|audit_timestamp|cancle_time|refund_apply_time|refund_audit_time|finish_time|finish_datestamp|transaction_time|refund_finish_time|tmall_delivery_time|points_pay_time|card_pay_time|external_pay_time,id,5.7,t_order
t_order_details,shdl_db,120.253.251.103:4406,receiving_time|receiving_timetamp|price_time|delivery_time,id,5.7,t_order_details
t_store_info,shdl_db,120.253.251.103:4406,expiry_time|create_time|mod_time|check_time|announcement_begin_time|announcement_end_time,store_id,5.7,t_store_info
t_ticket,shdl_db,120.253.251.103:4406,get_time|create_time|mod_time,id,5.7,t_ticket
t_ticket_active,shdl_db,120.253.251.103:4406,get_start_time|get_start_timestamp|get_end_time|get_end_timestamp|lhq_start_time|lhq_start_timestamp|lhq_end_time|lhq_end_timestamp|create_time|mod_time,id|store_id,5.7,t_ticket_active
t_user,shdl_db,120.253.251.103:4406,login_time|login_lock_time|create_time|mod_time,user_id,5.7,t_user
t_user_integral_history,shdl_db,120.253.251.103:4406,create_time|mod_time,id,5.7,t_user_integral_history
t_user_points_balance,shdl_db,120.253.251.103:4406,create_time|mod_time,id,5.7,t_user_points_balance
t_user_points_history,shdl_db,120.253.251.103:4406,create_time|mod_time,id,5.7,t_user_points_history
t_after_sales_order,xinjiang_db,120.253.251.103:4406,audit_time|create_order_time|create_time|refund_finish_time|finish_time,id,5.7,t_after_sales_order
t_eva_goods,xinjiang_db,120.253.251.103:4406,eva_time,id,5.7,t_eva_goods
t_goods,xinjiang_db,120.253.251.103:4406,goods_added_time|goods_unadded_time|create_time|mod_time,goods_id,5.7,t_goods
t_goods_brand,xinjiang_db,120.253.251.103:4406,create_time|mod_time,brand_id,5.7,t_goods_brand
t_goods_category,xinjiang_db,120.253.251.103:4406,create_time|mod_time,cat_id,5.7,t_goods_category
t_goods_item,xinjiang_db,120.253.251.103:4406,goods_item_added_time|goods_item_unadded_time|create_time|mod_time,goods_item_id,5.7,t_goods_item
t_order,xinjiang_db,120.253.251.103:4406,create_time|create_datestamp|payment_time|payment_datestamp|receipt_time|receipt_datestamp|delivery_time|delivery_datestamp|deliverytime|audit_time|audit_timestamp|cancle_time|refund_apply_time|refund_audit_time|finish_time|finish_datestamp|transaction_time|refund_finish_time,id,5.7,t_order
t_order_details,xinjiang_db,120.253.251.103:4406,receiving_time|receiving_timetamp|price_time,id,5.7,t_order_details
t_store_info,xinjiang_db,120.253.251.103:4406,expiry_time|create_time|mod_time|check_time|announcement_begin_time|announcement_end_time,store_id,5.7,t_store_info
t_ticket,xinjiang_db,120.253.251.103:4406,get_time|create_time|mod_time,id,5.7,t_ticket
t_ticket_active,xinjiang_db,120.253.251.103:4406,get_start_time|get_start_timestamp|get_end_time|get_end_timestamp|lhq_start_time|lhq_start_timestamp|lhq_end_time|lhq_end_timestamp|create_time|mod_time,id|store_id,5.7,t_ticket_active
t_user,xinjiang_db,120.253.251.103:4406,login_time|login_lock_time|create_time|mod_time,user_id,5.7,t_user
t_user_integral_history,xinjiang_db,120.253.251.103:4406,create_time|mod_time,id,5.7,t_user_integral_history
t_after_sales_order_detail,xinjiang_db,120.253.251.103:4406,,id,5.7,t_after_sales_order_detail
t_after_sales_order,zgdzsr_db,120.253.251.103:4406,audit_time|create_order_time|create_time|refund_finish_time|finish_time,id,5.7,t_after_sales_order
t_eva_goods,zgdzsr_db,120.253.251.103:4406,eva_time,id,5.7,t_eva_goods
t_goods,zgdzsr_db,120.253.251.103:4406,goods_added_time|goods_unadded_time|create_time|mod_time,goods_id,5.7,t_goods
t_goods_brand,zgdzsr_db,120.253.251.103:4406,create_time|mod_time,brand_id,5.7,t_goods_brand
t_goods_category,zgdzsr_db,120.253.251.103:4406,create_time|mod_time,cat_id,5.7,t_goods_category
t_goods_item,zgdzsr_db,120.253.251.103:4406,goods_item_added_time|goods_item_unadded_time|create_time|mod_time,goods_item_id,5.7,t_goods_item
t_order,zgdzsr_db,120.253.251.103:4406,create_time|create_datestamp|payment_time|payment_datestamp|receipt_time|receipt_datestamp|delivery_time|delivery_datestamp|deliverytime|delivery_time_id|audit_time|audit_timestamp|cancle_time|refund_apply_time|refund_audit_time|finish_time|finish_datestamp|transaction_time|refund_finish_time,id,5.7,t_order
t_order_details,zgdzsr_db,120.253.251.103:4406,receiving_time|receiving_timetamp|price_time,id,5.7,t_order_details
t_store_info,zgdzsr_db,120.253.251.103:4406,expiry_time|create_time|mod_time|check_time|announcement_begin_time|announcement_end_time,store_id,5.7,t_store_info
t_ticket,zgdzsr_db,120.253.251.103:4406,get_time|create_time|mod_time,id,5.7,t_ticket
t_ticket_active,zgdzsr_db,120.253.251.103:4406,get_start_time|get_start_timestamp|get_end_time|get_end_timestamp|lhq_start_time|lhq_start_timestamp|lhq_end_time|lhq_end_timestamp|create_time|mod_time,id|store_id,5.7,t_ticket_active
t_user,zgdzsr_db,120.253.251.103:4406,login_time|login_lock_time|create_time|mod_time,user_id,5.7,t_user
t_user_integral_history,zgdzsr_db,120.253.251.103:4406,create_time|mod_time,id,5.7,t_user_integral_history
t_welfare_coin,zgdzsr_db,120.253.251.103:4406,create_time|mod_time,id,5.7,t_welfare_coin
t_welfare_coin_history,zgdzsr_db,120.253.251.103:4406,create_time,id,5.7,t_welfare_coin_history
t_after_sales_order_detail,zgdzsr_db,120.253.251.103:4406,,id,5.7,t_after_sales_order_detail
t_after_sales_order,zjjhst_db,120.253.251.103:4406,audit_time|create_order_time|create_time|refund_finish_time|finish_time,id,5.7,t_after_sales_order
t_after_sales_order_detail,zjjhst_db,120.253.251.103:4406,wx_refund_time|canteen_refund_time,id,5.7,t_after_sales_order_detail
t_eva_goods,zjjhst_db,120.253.251.103:4406,eva_time,id,5.7,t_eva_goods
t_goods,zjjhst_db,120.253.251.103:4406,goods_added_time|goods_unadded_time|create_time|mod_time,goods_id,5.7,t_goods
t_goods_brand,zjjhst_db,120.253.251.103:4406,create_time|mod_time,brand_id,5.7,t_goods_brand
t_goods_category,zjjhst_db,120.253.251.103:4406,create_time|mod_time,cat_id,5.7,t_goods_category
t_goods_item,zjjhst_db,120.253.251.103:4406,goods_item_added_time|goods_item_unadded_time|create_time|mod_time,goods_item_id,5.7,t_goods_item
t_order,zjjhst_db,120.253.251.103:4406,create_time|create_datestamp|payment_time|payment_datestamp|receipt_time|receipt_datestamp|delivery_time|delivery_datestamp|deliverytime|audit_time|audit_timestamp|cancle_time|refund_apply_time|refund_audit_time|finish_time|finish_datestamp|transaction_time|refund_finish_time|wx_refund_time|canteen_refund_time,id,5.7,t_order
t_order_details,zjjhst_db,120.253.251.103:4406,receiving_time|receiving_timetamp|price_time|delivery_time,id,5.7,t_order_details
t_store_info,zjjhst_db,120.253.251.103:4406,expiry_time|create_time|mod_time|check_time|announcement_begin_time|announcement_end_time,store_id,5.7,t_store_info
t_ticket,zjjhst_db,120.253.251.103:4406,get_time|create_time|mod_time,id,5.7,t_ticket
t_ticket_active,zjjhst_db,120.253.251.103:4406,get_start_time|get_start_timestamp|get_end_time|get_end_timestamp|lhq_start_time|lhq_start_timestamp|lhq_end_time|lhq_end_timestamp|create_time|mod_time,id|store_id,5.7,t_ticket_active
t_user,zjjhst_db,120.253.251.103:4406,login_time|login_lock_time|create_time|mod_time,user_id,5.7,t_user
t_user_integral_history,zjjhst_db,120.253.251.103:4406,create_time|mod_time,id,5.7,t_user_integral_history
t_after_sales_order,zjpolicest_db,120.253.251.103:4406,audit_time|create_order_time|create_time|refund_finish_time|finish_time,id,5.7,t_after_sales_order
t_after_sales_order_detail,zjpolicest_db,120.253.251.103:4406,wx_refund_time|canteen_refund_time,id,5.7,t_after_sales_order_detail
t_eva_goods,zjpolicest_db,120.253.251.103:4406,eva_time,id,5.7,t_eva_goods
t_goods,zjpolicest_db,120.253.251.103:4406,goods_added_time|goods_unadded_time|create_time|mod_time,goods_id,5.7,t_goods
t_goods_brand,zjpolicest_db,120.253.251.103:4406,create_time|mod_time,brand_id,5.7,t_goods_brand
t_goods_category,zjpolicest_db,120.253.251.103:4406,create_time|mod_time,cat_id,5.7,t_goods_category
t_goods_item,zjpolicest_db,120.253.251.103:4406,goods_item_added_time|goods_item_unadded_time|create_time|mod_time,goods_item_id,5.7,t_goods_item
t_order,zjpolicest_db,120.253.251.103:4406,create_time|create_datestamp|payment_time|payment_datestamp|receipt_time|receipt_datestamp|delivery_time|delivery_datestamp|deliverytime|audit_time|audit_timestamp|cancle_time|refund_apply_time|refund_audit_time|finish_time|finish_datestamp|transaction_time|refund_finish_time|wx_refund_time|canteen_refund_time,id,5.7,t_order
t_order_details,zjpolicest_db,120.253.251.103:4406,receiving_time|receiving_timetamp|price_time|delivery_time,id,5.7,t_order_details
t_store_info,zjpolicest_db,120.253.251.103:4406,expiry_time|create_time|mod_time|check_time|announcement_begin_time|announcement_end_time,store_id,5.7,t_store_info
t_ticket,zjpolicest_db,120.253.251.103:4406,get_time|create_time|mod_time,id,5.7,t_ticket
t_ticket_active,zjpolicest_db,120.253.251.103:4406,get_start_time|get_start_timestamp|get_end_time|get_end_timestamp|lhq_start_time|lhq_start_timestamp|lhq_end_time|lhq_end_timestamp|create_time|mod_time,id|store_id,5.7,t_ticket_active
t_user,zjpolicest_db,120.253.251.103:4406,login_time|login_lock_time|create_time|mod_time,user_id,5.7,t_user
